SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,E,540767,EQUITY,0,NAM-INDIA,1,Nippon Life India AMC,,,,5,NA,ES,A,NIPPON LIFE INDIA ASSET M
BSE,E,540768,EQUITY,0,MAHLOG,1,Mahindra Logistic,,,,5,NA,ES,B,Mahindra Logistics Limite
BSE,E,540769,EQUITY,0,NIACL,1,The New India Assurance Company,,,,5,NA,ES,A,The New India Assurance C
BSE,E,540774,EQUITY,0,IFGLEXPOR,1,IFGL Refractories,,,,5,NA,ES,B,IFGL Refractories Limited
BSE,E,540775,EQUITY,0,KHADIM,1,Khadim,,,,5,NA,ES,B,Khadim India Limited
BSE,E,540776,EQUITY,0,5PAISA,1,5Paisa Capital,,,,5,NA,ES,B,5paisa Capital Limited
BSE,E,540777,EQUITY,0,HDFCLIFE,1,HDFC Life Insurance,,,,5,NA,ES,A,HDFC LIFE INSURANCE COMPA
BSE,E,540786,EQUITY,0,SHARIKA,1,Sharika Enterprises,,,,1,NA,ES,B,SHARIKA ENTERPRISES LIMIT
BSE,E,540787,EQUITY,0,ICICIB22,1,ICICI Pru Bharat 22 ETF,,,,1,NA,ETF,A,ICICI Prudential Mutual F
BSE,E,540789,EQUITY,0,DNAMEDIA,1,Diligent Media Corporation,,,,1,NA,ES,B,Diligent Media Corporatio
BSE,E,540795,EQUITY,0,DYCL,1,Dynamic Cables,,,,5,NA,ES,B,Dynamic Cables Limited
BSE,E,540797,EQUITY,0,SHALBY,1,Shalby,,,,5,NA,ES,B,Shalby Limited
BSE,E,540824,EQUITY,0,ASTRON,1,Astron Paper & Board Mill,,,,1,NA,ES,B,Astron Paper & Board Mill
BSE,E,540879,EQUITY,0,APOLLO,1,Apollo Micro Systems,,,,5,NA,ES,A,Apollo Micro Systems Limi
BSE,E,540900,EQUITY,0,NEWGEN,1,Newgen Software Technologies,,,,5,NA,ES,A,Newgen Software Technolog
BSE,E,540902,EQUITY,0,AMBER,1,Amber Enterprises,,,,5,NA,ES,A,Amber Enterprises India L
BSE,E,540923,EQUITY,0,ASHOKAMET,1,Ashoka Metcast,,,,1,NA,ES,B,Ashoka Metcast Limited
